,bikeid,count
0,14529,1075
1,14530,1191
2,14531,969
3,14532,1016
4,14533,1394
5,14534,1168
6,14535,1033
7,14536,1280
8,14537,1159
9,14539,1063
10,14540,1060
11,14541,1228
12,14544,1065
13,14545,1123
14,14547,1019
15,14548,686
16,14549,1238
17,14550,1046
18,14551,1240
19,14552,996
20,14553,1267
21,14555,1211
22,14556,1260
23,14558,1436
24,14559,961
25,14561,1232
26,14562,1141
27,14563,1054
28,14565,1192
29,14566,1394
30,14567,1509
31,14568,1246
32,14570,1096
33,14572,1287
34,14573,1462
35,14574,1108
36,14575,627
37,14576,1329
38,14577,1037
39,14578,1250
40,14579,1217
41,14580,1304
42,14581,1108
43,14582,1536
44,14583,967
45,14584,1058
46,14585,1399
47,14586,997
48,14587,621
49,14588,1173
50,14589,555
51,14590,1068
52,14591,868
53,14592,1359
54,14593,1094
55,14594,1106
56,14595,1160
57,14596,1191
58,14597,1340
59,14598,1126
60,14599,1310
61,14600,73
62,14601,1290
63,14602,1290
64,14603,1203
65,14604,1289
66,14607,1015
67,14608,1044
68,14610,472
69,14611,389
70,14612,876
71,14613,1336
72,14615,1418
73,14616,1661
74,14617,952
75,14618,1075
76,14619,1068
77,14620,1169
78,14621,565
79,14622,250
80,14624,1333
81,14625,1146
82,14626,1571
83,14627,1313
84,14628,1500
85,14629,1331
86,14630,1020
87,14631,1024
88,14632,1058
89,14633,1313
90,14634,1404
91,14635,410
92,14636,1217
93,14637,665
94,14639,999
95,14640,1000
96,14641,1446
97,14644,1026
98,14645,1200
99,14646,1011
100,14647,1183
101,14648,1194
102,14649,1028
103,14650,1393
104,14651,1076
105,14652,384
106,14653,797
107,14654,1069
108,14655,1028
109,14656,1116
110,14657,863
111,14658,1245
112,14660,1368
113,14661,1244
114,14663,891
115,14664,1076
116,14665,1366
117,14666,1200
118,14668,1215
119,14670,1437
120,14671,1160
121,14672,1381
122,14673,1490
123,14674,1300
124,14675,1445
125,14676,863
126,14677,1159
127,14679,1364
128,14680,1284
129,14683,1346
130,14684,1211
131,14685,937
132,14686,1286
133,14687,1299
134,14688,1176
135,14689,1084
136,14691,1210
137,14694,1484
138,14695,1066
139,14696,1156
140,14697,1415
141,14698,1076
142,14699,1283
143,14700,1486
144,14701,1066
145,14702,1309
146,14704,1363
147,14705,1311
148,14706,1189
149,14707,1506
150,14708,893
151,14710,1219
152,14711,1185
153,14714,1152
154,14715,1033
155,14716,985
156,14717,1383
157,14718,1209
158,14719,528
159,14720,1069
160,14721,1388
161,14722,878
162,14723,1330
163,14724,290
164,14725,883
165,14726,1114
166,14727,1038
167,14728,988
168,14729,1244
169,14730,1049
170,14731,1064
171,14732,1163
172,14733,1069
173,14734,1078
174,14736,1552
175,14737,1303
176,14738,1065
177,14740,1280
178,14741,1283
179,14742,1362
180,14743,1299
181,14744,854
182,14759,1353
183,14760,1041
184,14761,1447
185,14762,1206
186,14763,1044
187,14764,984
188,14765,1180
189,14766,1042
190,14767,1315
191,14768,1103
192,14769,1306
193,14771,1238
194,14772,1181
195,14773,1244
196,14774,806
197,14775,1055
198,14776,1272
199,14777,966
200,14778,1352
201,14779,845
202,14780,1264
203,14781,1459
204,14782,1317
205,14783,943
206,14785,1382
207,14786,1205
208,14788,1099
209,14789,1018
210,14790,1310
211,14791,1256
212,14792,1137
213,14793,753
214,14795,1137
215,14797,1073
216,14798,1319
217,14799,1214
218,14801,489
219,14802,1142
220,14804,1421
221,14805,956
222,14806,931
223,14807,1235
224,14808,1319
225,14809,1458
226,14811,1205
227,14814,1029
228,14815,523
229,14816,1223
230,14817,1331
231,14820,1311
232,14821,1237
233,14822,679
234,14823,863
235,14824,997
236,14826,450
237,14827,1210
238,14828,1140
239,14829,1397
240,14831,1217
241,14832,1460
242,14833,1192
243,14835,1003
244,14838,1358
245,14839,1083
246,14841,1260
247,14842,1104
248,14843,1367
249,14849,1211
250,14851,784
251,14852,896
252,14853,1044
253,14854,1003
254,14855,1151
255,14856,1199
256,14857,1036
257,14858,1312
258,14860,1126
259,14861,1404
260,14862,1135
261,14863,996
262,14865,1289
263,14866,702
264,14868,1242
265,14869,1242
266,14870,1098
267,14873,1094
268,14874,32
269,14875,975
270,14876,1127
271,14877,873
272,14878,1030
273,14879,1200
274,14881,1461
275,14882,1234
276,14883,821
277,14884,1205
278,14886,1151
279,14887,1324
280,14888,1139
281,14889,1241
282,14890,1077
283,14891,954
284,14892,1125
285,14893,907
286,14895,1166
287,14898,1177
288,14899,924
289,14900,1333
290,14901,1097
291,14903,1038
292,14904,1332
293,14905,969
294,14906,1101
295,14907,1007
296,14908,1236
297,14909,1197
298,14910,1212
299,14911,1192
300,14912,1088
301,14913,1019
302,14914,1149
303,14915,1168
304,14916,675
305,14917,906
306,14918,839
307,14919,1300
308,14920,1008
309,14921,1248
310,14922,1217
311,14923,828
312,14924,1298
313,14926,1087
314,14927,1471
315,14928,1143
316,14929,1238
317,14930,1146
318,14931,1069
319,14934,917
320,14935,940
321,14936,1070
322,14937,1003
323,14938,1067
324,14939,1308
325,14940,881
326,14941,1199
327,14942,1122
328,14943,1170
329,14944,1318
330,14945,1091
331,14946,1418
332,14947,1108
333,14948,1075
334,14949,728
335,14950,1290
336,14951,807
337,14953,961
338,14955,866
339,14956,423
340,14957,1111
341,14958,1234
342,14959,890
343,14961,1229
344,14962,946
345,14963,1121
346,14965,639
347,14966,1383
348,14967,1141
349,14970,1257
350,14972,1084
351,14973,1453
352,14974,1276
353,14975,686
354,14976,1255
355,14977,1117
356,14979,1232
357,14980,1086
358,14982,1182
359,14983,1315
360,14986,1043
361,14987,868
362,14988,1236
363,14990,872
364,14991,1391
365,14992,1148
366,14993,1052
367,14994,1315
368,14995,868
369,14996,734
370,14997,1159
371,15000,1057
372,15001,565
373,15003,952
374,15004,942
375,15005,1125
376,15006,114
377,15007,1087
378,15008,1232
379,15009,1475
380,15011,1005
381,15012,1237
382,15013,1322
383,15014,1333
384,15015,1353
385,15016,1166
386,15018,1078
387,15019,1260
388,15020,895
389,15021,742
390,15022,1192
391,15023,1305
392,15024,1187
393,15025,1462
394,15027,1218
395,15028,1027
396,15029,1473
397,15030,1181
398,15031,1138
399,15032,1058
400,15034,694
401,15035,1286
402,15036,1202
403,15037,1231
404,15038,1283
405,15039,1284
406,15040,1016
407,15042,1320
408,15043,1066
409,15044,577
410,15045,1239
411,15047,1026
412,15048,1013
413,15049,881
414,15052,1078
415,15053,890
416,15055,930
417,15056,959
418,15057,1425
419,15059,626
420,15060,1234
421,15061,526
422,15062,1235
423,15063,1424
424,15064,1110
425,15065,778
426,15066,1151
427,15067,1127
428,15068,1119
429,15069,719
430,15070,788
431,15071,1221
432,15074,872
433,15076,1317
434,15078,1206
435,15079,1294
436,15080,1072
437,15081,1080
438,15082,1135
439,15083,948
440,15084,1165
441,15085,1210
442,15086,1202
443,15087,1077
444,15090,50
445,15091,1222
446,15093,1303
447,15095,1145
448,15096,1603
449,15097,855
450,15098,767
451,15099,943
452,15101,1370
453,15102,1367
454,15104,1301
455,15105,1082
456,15106,960
457,15107,1332
458,15108,1211
459,15109,1335
460,15112,1254
461,15114,1507
462,15115,971
463,15116,1463
464,15117,964
465,15119,1253
466,15122,1416
467,15125,73
468,15126,1221
469,15127,977
470,15128,1272
471,15130,1224
472,15131,1539
473,15132,800
474,15133,1027
475,15134,1523
476,15135,1073
477,15136,1071
478,15137,926
479,15138,1235
480,15139,1182
481,15140,1458
482,15141,737
483,15142,1151
484,15145,1136
485,15146,1070
486,15148,1349
487,15149,1154
488,15152,1499
489,15153,1064
490,15154,902
491,15155,772
492,15157,1340
493,15158,1488
494,15160,970
495,15161,938
496,15162,1321
497,15163,1046
498,15164,560
499,15166,1130
500,15167,937
501,15169,1183
502,15170,1217
503,15172,1480
504,15173,1175
505,15174,898
506,15175,864
507,15176,1035
508,15178,1418
509,15180,997
510,15181,1268
511,15183,1248
512,15184,1172
513,15185,958
514,15186,1051
515,15187,1371
516,15188,939
517,15189,1092
518,15190,1372
519,15191,1183
520,15193,1149
521,15194,952
522,15195,1523
523,15196,1311
524,15197,1199
525,15198,911
526,15200,951
527,15201,787
528,15202,1416
529,15203,1047
530,15204,928
531,15205,1366
532,15207,929
533,15208,887
534,15209,1387
535,15210,1259
536,15211,884
537,15212,1139
538,15215,1473
539,15216,1035
540,15218,1021
541,15220,1181
542,15221,594
543,15222,879
544,15223,795
545,15224,1490
546,15225,1490
547,15226,1303
548,15228,1050
549,15230,832
550,15231,1113
551,15232,1134
552,15235,1156
553,15236,1214
554,15237,1131
555,15238,1177
556,15239,1340
557,15240,410
558,15241,639
559,15242,1245
560,15244,1352
561,15248,1081
562,15249,1079
563,15250,1058
564,15251,1283
565,15252,1214
566,15253,1070
567,15254,1279
568,15255,1159
569,15256,888
570,15258,1372
571,15259,1198
572,15261,1263
573,15263,1461
574,15264,1199
575,15265,1047
576,15266,64
577,15267,1093
578,15268,210
579,15269,1232
580,15270,1289
581,15271,1067
582,15273,989
583,15275,739
584,15276,986
585,15277,829
586,15278,1019
587,15279,1216
588,15281,1298
589,15283,1152
590,15285,838
591,15286,1099
592,15288,1223
593,15289,1317
594,15290,1062
595,15292,1284
596,15293,1478
597,15294,1287
598,15296,1335
599,15297,490
600,15298,1138
601,15299,1154
602,15300,1260
603,15301,948
604,15302,1277
605,15304,1490
606,15305,839
607,15307,1078
608,15308,1272
609,15309,1298
610,15310,1157
611,15312,1098
612,15313,1325
613,15314,727
614,15315,1290
615,15316,919
616,15317,816
617,15318,1498
618,15319,1001
619,15320,1291
620,15321,1030
621,15322,850
622,15323,1423
623,15324,1017
624,15325,1085
625,15326,1128
626,15327,935
627,15328,1169
628,15330,1271
629,15331,1293
630,15332,1100
631,15333,1018
632,15334,1206
633,15335,1044
634,15336,772
635,15337,1019
636,15338,180
637,15339,1273
638,15341,862
639,15342,974
640,15344,1182
641,15345,1180
642,15346,1303
643,15347,1047
644,15348,1154
645,15349,973
646,15350,1340
647,15352,1025
648,15353,1011
649,15354,937
650,15355,987
651,15356,1013
652,15357,1395
653,15358,1540
654,15359,1115
655,15360,762
656,15361,1164
657,15362,944
658,15363,1387
659,15365,620
660,15367,1299
661,15369,942
662,15372,1166
663,15373,976
664,15374,1219
665,15375,951
666,15376,633
667,15377,847
668,15378,1231
669,15379,1540
670,15380,945
671,15381,1107
672,15382,1196
673,15383,454
674,15384,1423
675,15385,1382
676,15387,1219
677,15388,899
678,15390,1193
679,15391,1313
680,15392,1349
681,15393,678
682,15394,881
683,15395,1187
684,15396,906
685,15398,1327
686,15399,1173
687,15400,1073
688,15401,1225
689,15402,664
690,15403,1343
691,15404,1214
692,15405,1256
693,15406,1170
694,15409,1084
695,15410,1198
696,15411,1189
697,15412,964
698,15413,762
699,15414,1273
700,15415,828
701,15416,22
702,15417,1058
703,15418,988
704,15419,1131
705,15420,1062
706,15421,898
707,15422,738
708,15423,1002
709,15424,1187
710,15425,1065
711,15426,1230
712,15427,1206
713,15428,1187
714,15429,1287
715,15430,820
716,15431,970
717,15432,1325
718,15433,1479
719,15434,1209
720,15436,1381
721,15437,1284
722,15438,1479
723,15439,1085
724,15440,1323
725,15441,1356
726,15442,750
727,15443,1145
728,15444,1245
729,15445,1019
730,15446,1418
731,15447,1244
732,15448,964
733,15449,1028
734,15451,1419
735,15452,1157
736,15454,916
737,15455,1256
738,15456,891
739,15457,1158
740,15459,1246
741,15460,1253
742,15461,1328
743,15462,927
744,15463,770
745,15465,1336
746,15466,1266
747,15468,1182
748,15469,991
749,15470,920
750,15471,1257
751,15472,1002
752,15474,1098
753,15475,1364
754,15476,1118
755,15478,1405
756,15479,1082
757,15480,1377
758,15482,1240
759,15485,1381
760,15486,1214
761,15487,1222
762,15489,1435
763,15490,1356
764,15491,1329
765,15493,1253
766,15494,1275
767,15495,1432
768,15496,1094
769,15499,1244
770,15502,861
771,15503,776
772,15504,719
773,15505,1145
774,15508,421
775,15509,1156
776,15510,1449
777,15512,1258
778,15513,1029
779,15514,1145
780,15517,851
781,15518,637
782,15520,887
783,15521,248
784,15522,1294
785,15524,1029
786,15525,779
787,15526,947
788,15528,1241
789,15529,1463
790,15530,1354
791,15531,757
792,15533,1152
793,15534,417
794,15535,1373
795,15536,835
796,15537,966
797,15539,850
798,15540,1049
799,15541,1036
800,15542,871
801,15543,1310
802,15544,1126
803,15545,506
804,15548,325
805,15549,1062
806,15550,884
807,15552,1437
808,15553,1099
809,15554,1063
810,15555,934
811,15556,1302
812,15557,1347
813,15558,1139
814,15559,1122
815,15561,899
816,15562,1224
817,15563,921
818,15566,1196
819,15567,923
820,15569,1028
821,15570,1514
822,15572,1061
823,15573,1097
824,15574,993
825,15575,1185
826,15577,1508
827,15578,1166
828,15580,1179
829,15582,1288
830,15584,1063
831,15585,336
832,15586,729
833,15587,1384
834,15588,593
835,15589,1184
836,15590,911
837,15591,791
838,15592,532
839,15593,1359
840,15594,1112
841,15595,1420
842,15596,1057
843,15597,989
844,15598,1118
845,15599,1261
846,15600,1485
847,15601,37
848,15602,899
849,15603,619
850,15604,994
851,15605,1120
852,15607,1218
853,15608,1193
854,15609,965
855,15612,1048
856,15614,1400
857,15617,1431
858,15618,1208
859,15619,102
860,15620,1283
861,15621,1093
862,15622,1064
863,15623,1122
864,15624,974
865,15626,1222
866,15627,1087
