,birth year,count
0,1874.0,6
1,1884.0,2
2,1885.0,431
3,1886.0,127
4,1887.0,558
5,1888.0,100
6,1889.0,16
7,1890.0,18
8,1893.0,127
9,1894.0,268
10,1895.0,71
11,1896.0,11
12,1897.0,4
13,1899.0,276
14,1900.0,6302
15,1901.0,356
16,1905.0,3
17,1907.0,28
18,1910.0,356
19,1912.0,354
20,1913.0,47
21,1915.0,20
22,1916.0,52
23,1917.0,170
24,1918.0,160
25,1919.0,50
26,1920.0,7
27,1921.0,214
28,1923.0,1350
29,1924.0,11
30,1925.0,2
31,1926.0,86
32,1927.0,80
33,1928.0,67
34,1929.0,259
35,1930.0,91
36,1931.0,250
37,1932.0,669
38,1933.0,515
39,1934.0,850
40,1935.0,527
41,1936.0,958
42,1937.0,1872
43,1938.0,1626
44,1939.0,1439
45,1940.0,4375
46,1941.0,7034
47,1942.0,9976
48,1943.0,7748
49,1944.0,9095
50,1945.0,10705
51,1946.0,20172
52,1947.0,24441
53,1948.0,25984
54,1949.0,27887
55,1950.0,36089
56,1951.0,47513
57,1952.0,52830
58,1953.0,78740
59,1954.0,89801
60,1955.0,93385
61,1956.0,116390
62,1957.0,132050
63,1958.0,145035
64,1959.0,162317
65,1960.0,185625
66,1961.0,179229
67,1962.0,209227
68,1963.0,216225
69,1964.0,225649
70,1965.0,231673
71,1966.0,226427
72,1967.0,246696
73,1968.0,264047
74,1969.0,286526
75,1970.0,319253
76,1971.0,294058
77,1972.0,278878
78,1973.0,288754
79,1974.0,300431
80,1975.0,307026
81,1976.0,328553
82,1977.0,334474
83,1978.0,357138
84,1979.0,390242
85,1980.0,411419
86,1981.0,453282
87,1982.0,491461
88,1983.0,516717
89,1984.0,553024
90,1985.0,610345
91,1986.0,608069
92,1987.0,620876
93,1988.0,647055
94,1989.0,646910
95,1990.0,644014
96,1991.0,603927
97,1992.0,555635
98,1993.0,466253
99,1994.0,313837
100,1995.0,199957
101,1996.0,135433
102,1997.0,102424
103,1998.0,83318
104,1999.0,52601
105,2000.0,28355
106,2001.0,10747
107,2002.0,722
