,start station name,start station latitude,start station longitude,rides
0,1 Ave & E 110 St,40.7923272,-73.9383,4887
1,1 Ave & E 16 St,40.73221853,-73.98165557,67529
2,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,47446
3,1 Ave & E 30 St,40.74144387,-73.97536082,45842
4,1 Ave & E 44 St,40.75001986,-73.96905301,29888
5,1 Ave & E 62 St,40.761227399999996,-73.96094022,40229
6,1 Ave & E 68 St,40.76500525,-73.95818491,54699
7,1 Ave & E 78 St,40.77140426,-73.9535166,36908
8,1 Ave & E 94 St,40.78172120000001,-73.94594000000001,12678
9,1 Pl & Clinton St,40.6809591,-73.99905709,8205
10,10 Hudson Yards,40.752957,-74.00264,4433
11,10 St & 5 Ave,40.6686273,-73.98700053,6257
12,10 St & 7 Ave,40.666207799999995,-73.98199886,9901
13,11 Ave & W 27 St,40.751396,-74.00522600000001,54851
14,11 Ave & W 41 St,40.76030096,-73.99884222,47099
15,11 Ave & W 59 St,40.771522,-73.99054100000001,47682
16,11 St & 35 Ave,40.76274420000001,-73.9391141,796
17,11 St & 43 Ave,40.7519071,-73.94791190000001,230
18,12 Ave & W 40 St,40.76087502,-74.00277668,86566
19,12 St & 4 Ave,40.668603000000004,-73.99043940000001,4384
20,14 St & 5 Ave,40.666287,-73.98895053,9329
21,14 St & 7 Ave,40.663779,-73.98396846,10021
22,19 St & 24 Ave,40.777455200000006,-73.9225403,2066
23,2 Ave  & E 104 St,40.789210499999996,-73.94370784,3509
24,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,5506
25,2 Ave & 9 St,40.6724811,-73.99331394,3905
26,2 Ave & E 104 St,40.789210499999996,-73.94370784,5527
27,2 Ave & E 122 St,40.8006721,-73.9349,1602
28,2 Ave & E 31 St,40.74290902,-73.97706058,41711
29,2 Ave & E 96 St,40.7839636,-73.94716729999999,21716
30,2 Ave & E 99 St,40.786258600000004,-73.94552579,5781
31,21 St & 31 Dr,40.7659,-73.930819,2291
32,21 St & 36 Ave,40.760185299999996,-73.9362726,568
33,21 St & 38 Ave,40.7576314,-73.9391224,418
34,21 St & 43 Ave,40.75052534,-73.94594845,3151
35,21 St & Hoyt Ave S,40.774645,-73.92370600000001,1136
36,21 St & Queens Plaza North,40.75325964,-73.94335788,5704
37,23 Ave & 27 St,40.776165,-73.9153175,1106
38,24 Ave & 26 St,40.774591,-73.918544,1881
39,24 Ave & 29 St,40.7729,-73.91614200000001,1488
40,24 St & 41 Ave,40.752708500000004,-73.9397405,2752
41,27 Ave & 4 St,40.7747175,-73.93378940000001,401
42,27 Ave & 9 St,40.7739825,-73.93091340000001,1090
43,27 St & Hunter St,40.7485,-73.941275,1803
44,28 Ave & 35 St,40.7671,-73.9169858,2814
